2016-07-07 09:51:46,091 AWT-EventQueue-0 WARN  server.ContinuousCompetitionSubjectMatcherQuadropoly - loop index of subjectGroups 0
2016-07-07 09:51:46,119 AWT-EventQueue-0 WARN  server.ContinuousCompetitionSubjectMatcherQuadropoly - loop index of subjectGroups 0
2016-07-07 09:52:16,473 PeriodThread INFO  server.ContinuousCompetitionInstitution - Started ContinuousCompetitionInstitution for cohort 13 with diffParam = 0.6666666666666666
2016-07-07 09:52:16,474 PeriodThread WARN  server.ContinuousCompetitionInstitution - startPeriod() - start of execution
2016-07-07 09:52:16,474 PeriodThread INFO  server.ContinuousCompetitionInstitution - Initialized practice round action data.
2016-07-07 09:52:16,477 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 0.0, aFirmB: 0.0, aFirmC: 0.0, aFirmD: 0.0, aMarket: 0.0.
2016-07-07 09:52:16,477 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 100.0, oFirmB: 100.0, oFirmC: 100.0, oFirmD: 100.0.
2016-07-07 09:52:16,477 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 0.0, profitFirmB: 0.0, profitFirmC: 0.0, profitFirmD: 0.0
2016-07-07 09:52:16,477 PeriodThread INFO  server.ContinuousCompetitionInstitution - Action variables before initial market update: aFirmA: 0.0, aFirmB: 0.0, aFirmC: 0.0, aFirmD: 0.0.
2016-07-07 09:52:16,478 PeriodThread INFO  server.ContinuousCompetitionInstitution - Profit variables before initial market update: profitFirmA: 0.0, profitFirmB: 0.0, profitFirmC: 0.0, profitFirmD: 0.0
2016-07-07 09:52:16,478 PeriodThread INFO  server.ContinuousCompetitionInstitution - Balance variables before initial market update: balanceFirmA: 0.0, balanceFirmB: 0.0, balanceFirmC: 0.0, balanceFirmD: 0.0
2016-07-07 09:52:18,764 PeriodThread INFO  server.ContinuousCompetitionInstitution - countPracticeFinished was updated to 1 (client agent_ns2). MembershipCount is set to 4.
2016-07-07 09:52:18,787 PeriodThread INFO  server.ContinuousCompetitionInstitution - countPracticeFinished was updated to 2 (client agent_mo2). MembershipCount is set to 4.
2016-07-07 09:52:18,862 PeriodThread INFO  server.ContinuousCompetitionInstitution - countPracticeFinished was updated to 3 (client agent_mo1). MembershipCount is set to 4.
2016-07-07 09:52:19,157 PeriodThread INFO  server.ContinuousCompetitionInstitution - countPracticeFinished was updated to 4 (client agent_ns1). MembershipCount is set to 4.
2016-07-07 09:52:23,164 PeriodThread WARN  server.ContinuousCompetitionInstitution - endPeriod()
2016-07-07 09:52:23,194 PeriodThread INFO  server.ContinuousCompetitionInstitution - Started ContinuousCompetitionInstitution for cohort 14 with diffParam = 0.6666666666666666
2016-07-07 09:52:23,194 PeriodThread WARN  server.ContinuousCompetitionInstitution - startPeriod() - start of execution
2016-07-07 09:52:23,195 PeriodThread INFO  server.ContinuousCompetitionInstitution - Initialized regular round action data.
2016-07-07 09:52:23,195 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 35.0, aFirmB: 40.0, aFirmC: 40.0, aFirmD: 35.0, aMarket: 37.5.
2016-07-07 09:52:23,195 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 62.777777777777786, oFirmB: 62.22222222222223, oFirmC: 62.22222222222223, oFirmD: 62.777777777777786.
2016-07-07 09:52:23,195 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 27.465277777777782, profitFirmB: 31.11111111111111, profitFirmC: 31.11111111111111, profitFirmD: 27.465277777777782
2016-07-07 09:52:23,195 PeriodThread INFO  server.ContinuousCompetitionInstitution - Action variables before initial market update: aFirmA: 35.0, aFirmB: 40.0, aFirmC: 40.0, aFirmD: 35.0.
2016-07-07 09:52:23,196 PeriodThread INFO  server.ContinuousCompetitionInstitution - Profit variables before initial market update: profitFirmA: 27.465277777777782, profitFirmB: 31.11111111111111, profitFirmC: 31.11111111111111, profitFirmD: 27.465277777777782
2016-07-07 09:52:23,196 PeriodThread INFO  server.ContinuousCompetitionInstitution - Balance variables before initial market update: balanceFirmA: 0.0, balanceFirmB: 0.0, balanceFirmC: 0.0, balanceFirmD: 0.0
2016-07-07 09:52:23,284 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received ready message from clientagent_ns2
2016-07-07 09:52:23,284 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received ready message from clientagent_mo2
2016-07-07 09:52:23,284 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received ready message from clientagent_mo1
2016-07-07 09:52:23,295 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received ready message from clientagent_ns1
2016-07-07 09:52:23,296 PeriodThread INFO  server.ContinuousCompetitionInstitution - All clients reported ready stated. Sending start signal
2016-07-07 09:52:23,934 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 0 from client agent_mo1: Set aFirmC = 39.0
2016-07-07 09:52:23,944 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 1 of 4 with countId 0 of cohort 14.
2016-07-07 09:52:23,965 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 0 from client agent_ns2: Set aFirmA = 0.0
2016-07-07 09:52:23,974 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 2 of 4 with countId 0 of cohort 14.
2016-07-07 09:52:24,023 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 0 from client agent_mo2: Set aFirmB = 41.0
2016-07-07 09:52:24,032 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 3 of 4 with countId 0 of cohort 14.
2016-07-07 09:52:24,041 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 0 from client agent_ns1: Set aFirmD = 50.0
2016-07-07 09:52:24,049 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 4 of 4 with countId 0 of cohort 14.
2016-07-07 09:52:24,049 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 0.0, aFirmB: 41.0, aFirmC: 39.0, aFirmD: 50.0, aMarket: 32.5.
2016-07-07 09:52:24,049 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 71.11111111111111, oFirmB: 66.55555555555556, oFirmC: 66.77777777777779, oFirmD: 65.55555555555556.
2016-07-07 09:52:24,049 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 0.0, profitFirmB: 34.109722222222224, profitFirmC: 32.55416666666667, profitFirmD: 40.972222222222214
2016-07-07 09:52:24,050 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: payoffs - balanceFirmA: 0.0, balanceFirmB: 0.005684953703703704, balanceFirmC: 0.005425694444444445, balanceFirmD: 0.006828703703703702
2016-07-07 09:52:24,057 PeriodThread INFO  server.ContinuousCompetitionInstitution - Created marketUpdate is set to global time: 0 and to countId: 0.
2016-07-07 09:52:24,072 PeriodThread INFO  server.ContinuousCompetitionInstitution - processMessage() - end of execution - processed actionUpdate with countId 0
2016-07-07 09:52:24,436 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 1 from client agent_mo1: Set aFirmC = 44.0
2016-07-07 09:52:24,444 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 1 of 4 with countId 1 of cohort 14.
2016-07-07 09:52:24,466 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 1 from client agent_ns2: Set aFirmA = 20.0
2016-07-07 09:52:24,474 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 2 of 4 with countId 1 of cohort 14.
2016-07-07 09:52:24,524 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 1 from client agent_mo2: Set aFirmB = 42.0
2016-07-07 09:52:24,535 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 3 of 4 with countId 1 of cohort 14.
2016-07-07 09:52:24,546 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 1 from client agent_ns1: Set aFirmD = 50.0
2016-07-07 09:52:24,555 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 4 of 4 with countId 1 of cohort 14.
2016-07-07 09:52:24,555 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 20.0, aFirmB: 42.0, aFirmC: 44.0, aFirmD: 50.0, aMarket: 39.0.
2016-07-07 09:52:24,556 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 63.111111111111114, oFirmB: 60.66666666666667, oFirmC: 60.44444444444445, oFirmD: 59.777777777777786.
2016-07-07 09:52:24,556 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 15.777777777777775, profitFirmB: 31.85, profitFirmC: 33.24444444444445, profitFirmD: 37.36111111111111
2016-07-07 09:52:24,556 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: payoffs - balanceFirmA: 0.0026296296296296293, balanceFirmB: 0.010993287037037038, balanceFirmC: 0.010966435185185187, balanceFirmD: 0.013055555555555553
2016-07-07 09:52:24,563 PeriodThread INFO  server.ContinuousCompetitionInstitution - Created marketUpdate is set to global time: 500 and to countId: 1.
2016-07-07 09:52:24,590 PeriodThread INFO  server.ContinuousCompetitionInstitution - processMessage() - end of execution - processed actionUpdate with countId 1
2016-07-07 09:52:24,940 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 2 from client agent_mo1: Set aFirmC = 46.0
2016-07-07 09:52:24,953 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 1 of 4 with countId 2 of cohort 14.
2016-07-07 09:52:24,968 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 2 from client agent_ns2: Set aFirmA = 90.0
2016-07-07 09:52:24,977 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 2 of 4 with countId 2 of cohort 14.
2016-07-07 09:52:25,026 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 2 from client agent_mo2: Set aFirmB = 43.0
2016-07-07 09:52:25,035 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 3 of 4 with countId 2 of cohort 14.
2016-07-07 09:52:25,050 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 2 from client agent_ns1: Set aFirmD = 70.0
2016-07-07 09:52:25,061 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 4 of 4 with countId 2 of cohort 14.
2016-07-07 09:52:25,061 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 90.0, aFirmB: 43.0, aFirmC: 46.0, aFirmD: 70.0, aMarket: 62.25.
2016-07-07 09:52:25,061 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 34.66666666666667, oFirmB: 39.8888888888889, oFirmC: 39.55555555555557, oFirmD: 36.8888888888889.
2016-07-07 09:52:25,062 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 39.00000000000001, profitFirmB: 21.440277777777784, profitFirmC: 22.74444444444445, profitFirmD: 32.277777777777786
2016-07-07 09:52:25,062 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: payoffs - balanceFirmA: 0.00912962962962963, balanceFirmB: 0.014566666666666669, balanceFirmC: 0.014757175925925929, balanceFirmD: 0.018435185185185183
2016-07-07 09:52:25,069 PeriodThread INFO  server.ContinuousCompetitionInstitution - Created marketUpdate is set to global time: 1000 and to countId: 2.
2016-07-07 09:52:25,098 PeriodThread INFO  server.ContinuousCompetitionInstitution - processMessage() - end of execution - processed actionUpdate with countId 2
2016-07-07 09:52:25,443 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 3 from client agent_mo1: Set aFirmC = 41.0
2016-07-07 09:52:25,451 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 1 of 4 with countId 3 of cohort 14.
2016-07-07 09:52:25,471 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 3 from client agent_ns2: Set aFirmA = 20.0
2016-07-07 09:52:25,480 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 2 of 4 with countId 3 of cohort 14.
2016-07-07 09:52:25,532 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 3 from client agent_mo2: Set aFirmB = 44.0
2016-07-07 09:52:25,541 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 3 of 4 with countId 3 of cohort 14.
2016-07-07 09:52:25,552 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 3 from client agent_ns1: Set aFirmD = 20.0
2016-07-07 09:52:25,560 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 4 of 4 with countId 3 of cohort 14.
2016-07-07 09:52:25,561 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 20.0, aFirmB: 44.0, aFirmC: 41.0, aFirmD: 20.0, aMarket: 31.25.
2016-07-07 09:52:25,561 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 70.0, oFirmB: 67.33333333333334, oFirmC: 67.66666666666667, oFirmD: 70.0.
2016-07-07 09:52:25,561 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 17.499999999999996, profitFirmB: 37.03333333333334, profitFirmC: 34.67916666666667, profitFirmD: 17.499999999999996
2016-07-07 09:52:25,561 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: payoffs - balanceFirmA: 0.012046296296296296, balanceFirmB: 0.02073888888888889, balanceFirmC: 0.02053703703703704, balanceFirmD: 0.021351851851851848
2016-07-07 09:52:25,568 PeriodThread INFO  server.ContinuousCompetitionInstitution - Created marketUpdate is set to global time: 1500 and to countId: 3.
2016-07-07 09:52:25,600 PeriodThread INFO  server.ContinuousCompetitionInstitution - processMessage() - end of execution - processed actionUpdate with countId 3
2016-07-07 09:52:25,947 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 4 from client agent_mo1: Set aFirmC = 47.0
2016-07-07 09:52:25,956 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 1 of 4 with countId 4 of cohort 14.
2016-07-07 09:52:25,973 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 4 from client agent_ns2: Set aFirmA = 20.0
2016-07-07 09:52:25,982 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 2 of 4 with countId 4 of cohort 14.
2016-07-07 09:52:26,034 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 4 from client agent_mo2: Set aFirmB = 43.0
2016-07-07 09:52:26,043 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 3 of 4 with countId 4 of cohort 14.
2016-07-07 09:52:26,057 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 4 from client agent_ns1: Set aFirmD = 70.0
2016-07-07 09:52:26,068 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 4 of 4 with countId 4 of cohort 14.
2016-07-07 09:52:26,068 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 20.0, aFirmB: 43.0, aFirmC: 47.0, aFirmD: 70.0, aMarket: 45.0.
2016-07-07 09:52:26,068 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 57.777777777777786, oFirmB: 55.22222222222223, oFirmC: 54.777777777777786, oFirmD: 52.22222222222223.
2016-07-07 09:52:26,069 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 14.444444444444445, profitFirmB: 29.681944444444447, profitFirmC: 32.18194444444445, profitFirmD: 45.69444444444445
2016-07-07 09:52:26,069 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: payoffs - balanceFirmA: 0.014453703703703705, balanceFirmB: 0.02568587962962963, balanceFirmC: 0.02590069444444445, balanceFirmD: 0.02896759259259259
2016-07-07 09:52:26,083 PeriodThread INFO  server.ContinuousCompetitionInstitution - Created marketUpdate is set to global time: 2000 and to countId: 4.
2016-07-07 09:52:26,108 PeriodThread INFO  server.ContinuousCompetitionInstitution - processMessage() - end of execution - processed actionUpdate with countId 4
2016-07-07 09:52:26,448 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 5 from client agent_mo1: Set aFirmC = 44.0
2016-07-07 09:52:26,456 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 1 of 4 with countId 5 of cohort 14.
2016-07-07 09:52:26,479 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 5 from client agent_ns2: Set aFirmA = 20.0
2016-07-07 09:52:26,487 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 2 of 4 with countId 5 of cohort 14.
2016-07-07 09:52:26,536 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 5 from client agent_mo2: Set aFirmB = 38.0
2016-07-07 09:52:26,544 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 3 of 4 with countId 5 of cohort 14.
2016-07-07 09:52:26,561 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 5 from client agent_ns1: Set aFirmD = 70.0
2016-07-07 09:52:26,572 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 4 of 4 with countId 5 of cohort 14.
2016-07-07 09:52:26,572 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 20.0, aFirmB: 38.0, aFirmC: 44.0, aFirmD: 70.0, aMarket: 43.0.
2016-07-07 09:52:26,572 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 59.555555555555564, oFirmB: 57.55555555555556, oFirmC: 56.88888888888889, oFirmD: 54.0.
2016-07-07 09:52:26,573 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 14.88888888888889, profitFirmB: 27.33888888888889, profitFirmC: 31.28888888888889, profitFirmD: 47.25
2016-07-07 09:52:26,573 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: payoffs - balanceFirmA: 0.016935185185185185, balanceFirmB: 0.030242361111111112, balanceFirmC: 0.031115509259259263, balanceFirmD: 0.03684259259259259
2016-07-07 09:52:26,580 PeriodThread INFO  server.ContinuousCompetitionInstitution - Created marketUpdate is set to global time: 2500 and to countId: 5.
2016-07-07 09:52:26,636 PeriodThread INFO  server.ContinuousCompetitionInstitution - processMessage() - end of execution - processed actionUpdate with countId 5
