2021-08-19 14:13:58,907 AWT-EventQueue-0 WARN  server.ContinuousCompetitionSubjectMatcherDuopoly - loop index of subjectGroups 0
2021-08-19 14:13:58,960 AWT-EventQueue-0 WARN  server.ContinuousCompetitionSubjectMatcherDuopoly - loop index of subjectGroups 0
2021-08-19 14:16:37,287 PeriodThread INFO  server.ContinuousCompetitionInstitution - Started ContinuousCompetitionInstitution for cohort 23 with diffParam = 0.6666666666666666
2021-08-19 14:16:37,289 PeriodThread WARN  server.ContinuousCompetitionInstitution - startPeriod() - start of execution
2021-08-19 14:16:37,290 PeriodThread INFO  server.ContinuousCompetitionInstitution - Initialized practice round action data.
2021-08-19 14:16:37,291 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 0.0, aFirmB: 0.0, aFirmC: 0.0, aFirmD: 0.0, aMarket: 0.0.
2021-08-19 14:16:37,291 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 100.0, oFirmB: 100.0, oFirmC: 0.0, oFirmD: 0.0.
2021-08-19 14:16:37,291 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 0.0, profitFirmB: 0.0, profitFirmC: 0.0, profitFirmD: 0.0
2021-08-19 14:16:37,291 PeriodThread INFO  server.ContinuousCompetitionInstitution - Action variables before initial market update: aFirmA: 0.0, aFirmB: 0.0, aFirmC: 0.0, aFirmD: 0.0.
2021-08-19 14:16:37,291 PeriodThread INFO  server.ContinuousCompetitionInstitution - Profit variables before initial market update: profitFirmA: 0.0, profitFirmB: 0.0, profitFirmC: 0.0, profitFirmD: 0.0
2021-08-19 14:16:37,291 PeriodThread INFO  server.ContinuousCompetitionInstitution - Balance variables before initial market update: balanceFirmA: 0.0, balanceFirmB: 0.0, balanceFirmC: 0.0, balanceFirmD: 0.0
2021-08-19 14:16:38,661 PeriodThread INFO  server.ContinuousCompetitionInstitution - countPracticeFinished was updated to 1 (client agent1). MembershipCount is set to 2.
2021-08-19 14:17:02,818 PeriodThread INFO  server.ContinuousCompetitionInstitution - countPracticeFinished was updated to 2 (client Client1). MembershipCount is set to 2.
2021-08-19 14:17:06,842 PeriodThread WARN  server.ContinuousCompetitionInstitution - endPeriod()
2021-08-19 14:17:06,937 PeriodThread INFO  server.ContinuousCompetitionInstitution - Started ContinuousCompetitionInstitution for cohort 24 with diffParam = 0.6666666666666666
2021-08-19 14:17:06,937 PeriodThread WARN  server.ContinuousCompetitionInstitution - startPeriod() - start of execution
2021-08-19 14:17:06,937 PeriodThread INFO  server.ContinuousCompetitionInstitution - Initialized regular round action data.
2021-08-19 14:17:06,938 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 33.0, aFirmB: 25.0, aFirmC: 0.0, aFirmD: 0.0, aMarket: 29.0.
2021-08-19 14:17:06,938 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 70.2, oFirmB: 71.8, oFirmC: 0.0, oFirmD: 0.0.
2021-08-19 14:17:06,938 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 23.166, profitFirmB: 17.95, profitFirmC: 0.0, profitFirmD: 0.0
