2021-08-19 14:56:04,897 AWT-EventQueue-0 WARN  server.ContinuousCompetitionSubjectMatcher - loop index of subjectGroups 0
2021-08-19 14:56:04,940 AWT-EventQueue-0 WARN  server.ContinuousCompetitionSubjectMatcher - loop index of subjectGroups 0
2021-08-19 14:56:31,756 PeriodThread INFO  server.ContinuousCompetitionInstitution - Started ContinuousCompetitionInstitution for cohort 33 with diffParam = 0.6666666666666666
2021-08-19 14:56:31,761 PeriodThread WARN  server.ContinuousCompetitionInstitution - startPeriod() - start of execution
2021-08-19 14:56:31,762 PeriodThread INFO  server.ContinuousCompetitionInstitution - Initialized practice round action data.
2021-08-19 14:56:31,763 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 0.0, aFirmB: 0.0, aFirmC: 0.0, aFirmD: 0.0, aMarket: 0.0.
2021-08-19 14:56:31,764 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 100.0, oFirmB: 100.0, oFirmC: 100.0, oFirmD: 0.0.
2021-08-19 14:56:31,764 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 0.0, profitFirmB: 0.0, profitFirmC: 0.0, profitFirmD: 0.0
2021-08-19 14:56:31,764 PeriodThread INFO  server.ContinuousCompetitionInstitution - Action variables before initial market update: aFirmA: 0.0, aFirmB: 0.0, aFirmC: 0.0, aFirmD: 0.0.
2021-08-19 14:56:31,764 PeriodThread INFO  server.ContinuousCompetitionInstitution - Profit variables before initial market update: profitFirmA: 0.0, profitFirmB: 0.0, profitFirmC: 0.0, profitFirmD: 0.0
2021-08-19 14:56:31,764 PeriodThread INFO  server.ContinuousCompetitionInstitution - Balance variables before initial market update: balanceFirmA: 0.0, balanceFirmB: 0.0, balanceFirmC: 0.0, balanceFirmD: 0.0
2021-08-19 14:56:33,114 PeriodThread INFO  server.ContinuousCompetitionInstitution - countPracticeFinished was updated to 1 (client agent1). MembershipCount is set to 3.
2021-08-19 14:56:39,850 PeriodThread INFO  server.ContinuousCompetitionInstitution - countPracticeFinished was updated to 2 (client Client1). MembershipCount is set to 3.
2021-08-19 14:56:43,963 PeriodThread INFO  server.ContinuousCompetitionInstitution - countPracticeFinished was updated to 3 (client Client2). MembershipCount is set to 3.
2021-08-19 14:56:47,983 PeriodThread WARN  server.ContinuousCompetitionInstitution - endPeriod()
2021-08-19 14:56:48,074 PeriodThread INFO  server.ContinuousCompetitionInstitution - Started ContinuousCompetitionInstitution for cohort 34 with diffParam = 0.6666666666666666
2021-08-19 14:56:48,075 PeriodThread WARN  server.ContinuousCompetitionInstitution - startPeriod() - start of execution
2021-08-19 14:56:48,075 PeriodThread INFO  server.ContinuousCompetitionInstitution - Initialized regular round action data.
2021-08-19 14:56:48,075 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 28.0, aFirmB: 25.0, aFirmC: 28.0, aFirmD: 0.0, aMarket: 27.0.
2021-08-19 14:56:48,075 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 72.85714285714286, oFirmB: 73.28571428571428, oFirmC: 72.85714285714286, oFirmD: 0.0.
2021-08-19 14:56:48,075 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 22.767857142857146, profitFirmB: 20.44802295918367, profitFirmC: 22.767857142857146, profitFirmD: 0.0
2021-08-19 14:56:48,075 PeriodThread INFO  server.ContinuousCompetitionInstitution - Action variables before initial market update: aFirmA: 28.0, aFirmB: 25.0, aFirmC: 28.0, aFirmD: 0.0.
2021-08-19 14:56:48,075 PeriodThread INFO  server.ContinuousCompetitionInstitution - Profit variables before initial market update: profitFirmA: 22.767857142857146, profitFirmB: 20.44802295918367, profitFirmC: 22.767857142857146, profitFirmD: 0.0
2021-08-19 14:56:48,075 PeriodThread INFO  server.ContinuousCompetitionInstitution - Balance variables before initial market update: balanceFirmA: 0.0, balanceFirmB: 0.0, balanceFirmC: 0.0, balanceFirmD: 0.0
2021-08-19 14:56:48,131 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received ready message from clientagent1
2021-08-19 14:56:48,207 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received ready message from clientClient2
2021-08-19 14:56:48,233 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received ready message from clientClient1
2021-08-19 14:56:48,236 PeriodThread INFO  server.ContinuousCompetitionInstitution - All clients reported ready stated. Sending start signal
2021-08-19 14:56:48,786 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 0 from client Client2: Set aFirmA = 28.0
2021-08-19 14:56:48,844 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 1 of 3 with countId 0 of cohort 34.
2021-08-19 14:56:48,847 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 0 from client agent1: Set aFirmB = 27.0
2021-08-19 14:56:48,869 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 2 of 3 with countId 0 of cohort 34.
2021-08-19 14:56:48,870 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 0 from client Client1: Set aFirmC = 28.0
2021-08-19 14:56:48,881 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 3 of 3 with countId 0 of cohort 34.
2021-08-19 14:56:48,882 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 28.0, aFirmB: 27.0, aFirmC: 28.0, aFirmD: 0.0, aMarket: 27.666666666666668.
2021-08-19 14:56:48,882 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 72.28571428571429, oFirmB: 72.42857142857143, oFirmC: 72.28571428571429, oFirmD: 0.0.
2021-08-19 14:56:48,882 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 22.58928571428572, profitFirmB: 21.825573979591837, profitFirmC: 22.58928571428572, profitFirmD: 0.0
2021-08-19 14:56:48,883 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: payoffs - balanceFirmA: 0.003764880952380953, balanceFirmB: 0.0036375956632653064, balanceFirmC: 0.003764880952380953, balanceFirmD: 0.0
2021-08-19 14:56:48,899 PeriodThread INFO  server.ContinuousCompetitionInstitution - Created marketUpdate is set to global time: 0 and to countId: 0.
2021-08-19 14:56:48,913 PeriodThread INFO  server.ContinuousCompetitionInstitution - processMessage() - end of execution - processed actionUpdate with countId 0
2021-08-19 14:56:49,285 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 1 from client Client2: Set aFirmA = 28.0
2021-08-19 14:56:49,299 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 1 of 3 with countId 1 of cohort 34.
2021-08-19 14:56:49,302 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 1 from client agent1: Set aFirmB = 27.0
2021-08-19 14:56:49,324 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 2 of 3 with countId 1 of cohort 34.
2021-08-19 14:56:49,336 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 1 from client Client1: Set aFirmC = 28.0
2021-08-19 14:56:49,355 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 3 of 3 with countId 1 of cohort 34.
2021-08-19 14:56:49,355 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 28.0, aFirmB: 27.0, aFirmC: 28.0, aFirmD: 0.0, aMarket: 27.666666666666668.
2021-08-19 14:56:49,355 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 72.28571428571429, oFirmB: 72.42857142857143, oFirmC: 72.28571428571429, oFirmD: 0.0.
2021-08-19 14:56:49,356 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 22.58928571428572, profitFirmB: 21.825573979591837, profitFirmC: 22.58928571428572, profitFirmD: 0.0
2021-08-19 14:56:49,356 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: payoffs - balanceFirmA: 0.007529761904761906, balanceFirmB: 0.007275191326530613, balanceFirmC: 0.007529761904761906, balanceFirmD: 0.0
2021-08-19 14:56:49,369 PeriodThread INFO  server.ContinuousCompetitionInstitution - Created marketUpdate is set to global time: 500 and to countId: 1.
2021-08-19 14:56:49,375 PeriodThread INFO  server.ContinuousCompetitionInstitution - processMessage() - end of execution - processed actionUpdate with countId 1
2021-08-19 14:56:49,796 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 2 from client Client2: Set aFirmA = 28.0
2021-08-19 14:56:49,841 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 1 of 3 with countId 2 of cohort 34.
2021-08-19 14:56:49,842 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 2 from client agent1: Set aFirmB = 27.0
2021-08-19 14:56:49,872 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 2 of 3 with countId 2 of cohort 34.
2021-08-19 14:56:49,873 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 2 from client Client1: Set aFirmC = 28.0
2021-08-19 14:56:49,881 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 3 of 3 with countId 2 of cohort 34.
2021-08-19 14:56:49,881 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 28.0, aFirmB: 27.0, aFirmC: 28.0, aFirmD: 0.0, aMarket: 27.666666666666668.
2021-08-19 14:56:49,881 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 72.28571428571429, oFirmB: 72.42857142857143, oFirmC: 72.28571428571429, oFirmD: 0.0.
2021-08-19 14:56:49,881 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 22.58928571428572, profitFirmB: 21.825573979591837, profitFirmC: 22.58928571428572, profitFirmD: 0.0
2021-08-19 14:56:49,881 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: payoffs - balanceFirmA: 0.011294642857142859, balanceFirmB: 0.01091278698979592, balanceFirmC: 0.011294642857142859, balanceFirmD: 0.0
2021-08-19 14:56:49,887 PeriodThread INFO  server.ContinuousCompetitionInstitution - Created marketUpdate is set to global time: 1000 and to countId: 2.
2021-08-19 14:56:49,893 PeriodThread INFO  server.ContinuousCompetitionInstitution - processMessage() - end of execution - processed actionUpdate with countId 2
2021-08-19 14:56:50,304 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 3 from client Client2: Set aFirmA = 28.0
2021-08-19 14:56:50,333 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 1 of 3 with countId 3 of cohort 34.
2021-08-19 14:56:50,333 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 3 from client agent1: Set aFirmB = 27.0
2021-08-19 14:56:50,356 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 2 of 3 with countId 3 of cohort 34.
2021-08-19 14:56:50,356 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 3 from client Client1: Set aFirmC = 28.0
2021-08-19 14:56:50,372 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 3 of 3 with countId 3 of cohort 34.
2021-08-19 14:56:50,373 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 28.0, aFirmB: 27.0, aFirmC: 28.0, aFirmD: 0.0, aMarket: 27.666666666666668.
2021-08-19 14:56:50,373 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 72.28571428571429, oFirmB: 72.42857142857143, oFirmC: 72.28571428571429, oFirmD: 0.0.
2021-08-19 14:56:50,373 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 22.58928571428572, profitFirmB: 21.825573979591837, profitFirmC: 22.58928571428572, profitFirmD: 0.0
2021-08-19 14:56:50,373 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: payoffs - balanceFirmA: 0.015059523809523813, balanceFirmB: 0.014550382653061225, balanceFirmC: 0.015059523809523813, balanceFirmD: 0.0
2021-08-19 14:56:50,380 PeriodThread INFO  server.ContinuousCompetitionInstitution - Created marketUpdate is set to global time: 1500 and to countId: 3.
2021-08-19 14:56:50,388 PeriodThread INFO  server.ContinuousCompetitionInstitution - processMessage() - end of execution - processed actionUpdate with countId 3
2021-08-19 14:56:50,800 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 4 from client Client2: Set aFirmA = 28.0
2021-08-19 14:56:50,807 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 1 of 3 with countId 4 of cohort 34.
2021-08-19 14:56:50,818 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 4 from client agent1: Set aFirmB = 27.0
2021-08-19 14:56:50,829 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 2 of 3 with countId 4 of cohort 34.
